DE_group	knockout_gene_strategy	n_ko	n_WT
CBO_day_9	DMRTA1_PTC	3	3
PrS_day_6_20231214_23-robson-016	OVOL1_PTC	3	3
PrS_day_6_20231226_23-robson-018	ZBTB7C_PTC	3	3
PrS_day_6_20231226_23-robson-018	PITX1_PTC	3	3
PrS_day_6_20231226_23-robson-018	LMO2_PTC	3	3
