gene_ID	LHX5_PTC_baseMean	LHX5_PTC_log2FoldChange	LHX5_PTC_lfcSE	LHX5_PTC_stat	LHX5_PTC_pvalue	LHX5_PTC_padj	LHX5_PTC_n_zeros
ENSG00000271254	1010	0.173	0.196	0.881	0.378	0.643	0
ENSG00000276345	1.38	-0.623	2.27	-0.275	0.784		7
ENSG00000277196	492	0.158	0.231	0.684	0.494	0.726	0
ENSG00000278817	28.8	-0.154	0.429	-0.36	0.719		0
ENSG00000276017	0.574	0.376	3.39	0.111	0.912		10
ENSG00000198692	514	0.0885	0.135	0.654	0.513	0.741	6
ENSG00000229236	2.45	1.74	1.47	1.19	0.235		6
ENSG00000260197	28	1.1	0.585	1.88	0.0596		6
ENSG00000290853	465	0.0358	0.147	0.243	0.808	0.915	6
ENSG00000067048	3800	-0.225	0.121	-1.87	0.0616	0.285	6
ENSG00000286009	5.57	0.662	0.947	0.699	0.485		6
ENSG00000277930	2.63	0.284	1.26	0.225	0.822		6
ENSG00000278847	0.327	1.03	4.12	0.25	0.803		10
ENSG00000182484	287	0.174	0.134	1.3	0.192	0.465	6
ENSG00000124334	11	0.266	0.667	0.398	0.691		6
ENSG00000124333	640	0.124	0.15	0.83	0.407	0.666	6
ENSG00000224533	2.37	-1.84	2.2	-0.834	0.404		7
ENSG00000155961	649	0.116	0.142	0.815	0.415	0.671	0
ENSG00000274183	0.758	2.46	3.49	0.704	0.482		10
ENSG00000154620	199	-0.245	0.907	-0.27	0.787	0.903	6
ENSG00000130830	259	-0.0572	0.328	-0.174	0.862	0.939	0
ENSG00000272681	2.07	0.614	1.52	0.405	0.686		2
ENSG00000269335	349	0.0323	0.157	0.206	0.836	0.928	0
ENSG00000160211	1790	-0.035	0.0822	-0.426	0.67	0.843	0
ENSG00000102178	768	0.116	0.14	0.825	0.409	0.667	0
ENSG00000130827	679	-0.136	0.129	-1.05	0.293	0.569	0
ENSG00000071859	921	-0.145	0.0973	-1.49	0.138	0.402	0
ENSG00000013563	276	-0.211	0.133	-1.59	0.112	0.365	0
ENSG00000280195	24.3	-0.181	0.482	-0.376	0.707		0
ENSG00000007350	11.7	0.325	1.05	0.31	0.757		1
ENSG00000169057	1860	-0.245	0.118	-2.08	0.0372	0.23	0
ENSG00000177854	45.1	-0.357	0.505	-0.706	0.48	0.718	0
ENSG00000102032	170	-0.005	0.179	-0.0279	0.978	0.991	0
ENSG00000089820	742	-0.116	0.146	-0.797	0.426	0.679	0
ENSG00000198910	2370	-0.174	0.0825	-2.11	0.0347	0.223	0
ENSG00000067840	4970	-0.0419	0.144	-0.29	0.771	0.896	0
ENSG00000180879	1480	-0.11	0.0987	-1.12	0.264	0.54	0
ENSG00000067829	788	-0.337	0.121	-2.79	0.0052	0.123	0
ENSG00000198753	39.5	-0.431	0.327	-1.32	0.188		0
ENSG00000185825	2330	-0.146	0.115	-1.27	0.205	0.48	0
ENSG00000130822	80.8	-0.349	0.307	-1.14	0.255	0.532	0
ENSG00000067842	13.5	-1.05	0.656	-1.6	0.109		0
ENSG00000183837	655	0.0322	0.17	0.19	0.85	0.933	0
ENSG00000147383	772	0.0897	0.125	0.719	0.472	0.712	0
ENSG00000147400	855	0.218	0.122	1.78	0.0754	0.311	0
ENSG00000268916	0.344	-1.42	3.71	-0.382	0.702		9
ENSG00000124260	0.402	-0.516	3.85	-0.134	0.893		10
ENSG00000160131	4260	0.2	0.112	1.79	0.0733	0.307	0
ENSG00000234696	2.28	2.04	1.63	1.25	0.21		4
ENSG00000029993	11100	-0.184	0.0993	-1.86	0.0636	0.289	0
ENSG00000102181	414	0.277	0.206	1.34	0.179	0.45	0
ENSG00000063601	1250	0.0461	0.0911	0.506	0.613	0.808	0
ENSG00000013619	8.41	0.715	0.771	0.927	0.354		0
ENSG00000269556	619	-0.173	0.166	-1.04	0.296	0.572	0
ENSG00000241769	31.8	-0.198	0.365	-0.542	0.588		0
ENSG00000277215	18.3	0.524	0.461	1.14	0.256		0
ENSG00000182195	751	-0.0626	0.113	-0.553	0.58	0.787	0
ENSG00000134595	459	-0.185	0.147	-1.26	0.208	0.483	0
ENSG00000129682	791	0.185	0.135	1.37	0.171	0.441	0
ENSG00000283692	1.32	1.41	2.19	0.642	0.521		5
ENSG00000291054	41.8	0.427	0.381	1.12	0.262		0
ENSG00000165359	698	-0.204	0.156	-1.31	0.19	0.462	0
ENSG00000178947	341	0.285	0.261	1.09	0.276	0.553	0
ENSG00000173275	405	0.409	0.191	2.15	0.0318	0.216	0
ENSG00000169551	1.24	3.87	2.65	1.46	0.145		8
ENSG00000203950	504	-0.19	0.116	-1.64	0.1	0.35	0
ENSG00000184785	45.5	0.609	0.33	1.85	0.0649	0.292	0
ENSG00000101928	523	0.0997	0.141	0.71	0.478	0.717	0
ENSG00000156504	1530	0.367	0.138	2.67	0.00759	0.138	0
ENSG00000170965	15.1	-0.955	0.592	-1.61	0.107		0
ENSG00000156531	4560	0.222	0.121	1.83	0.0673	0.296	0
ENSG00000147257	3680	-0.464	0.198	-2.34	0.0193	0.185	0
ENSG00000076770	556	0.243	0.225	1.08	0.28	0.557	0
ENSG00000134602	4560	0.0377	0.131	0.288	0.773	0.896	0
ENSG00000213468	2070	-0.147	0.119	-1.24	0.214	0.489	0
ENSG00000286060	3	0.126	1.27	0.0995	0.921		1
ENSG00000287806	4.91	-0.705	0.929	-0.759	0.448		1
ENSG00000147256	41.8	-0.827	0.458	-1.81	0.0708		0
ENSG00000102078	220	-0.0335	0.15	-0.223	0.824	0.922	0
ENSG00000085185	659	-0.118	0.232	-0.507	0.612	0.808	0
ENSG00000188706	1500	-0.041	0.0936	-0.438	0.661	0.838	0
ENSG00000123165	0.602	-0.568	2.81	-0.203	0.839		8
ENSG00000198354	58.7	0.0744	0.344	0.216	0.829	0.924	0
ENSG00000009694	122	-0.235	0.215	-1.09	0.275	0.553	0
ENSG00000282419	4.64	0.709	0.874	0.812	0.417		0
ENSG00000101966	2480	0.295	0.132	2.24	0.0252	0.201	0
ENSG00000125676	4030	-0.18	0.08	-2.25	0.0242	0.199	0
ENSG00000125675	148	0.0492	0.24	0.204	0.838	0.928	0
ENSG00000171155	391	0.236	0.168	1.41	0.158	0.431	0
ENSG00000158290	4150	0.0991	0.105	0.948	0.343	0.614	0
ENSG00000005893	2300	0.222	0.105	2.12	0.0343	0.223	0
ENSG00000125355	24.1	0.457	0.587	0.778	0.437		0
ENSG00000258545	72.9	0.376	0.305	1.23	0.218	0.494	0
ENSG00000125352	208	-0.014	0.17	-0.0824	0.934	0.973	0
ENSG00000286366	7.5	0.139	0.736	0.189	0.85		0
ENSG00000125354	1530	0.0573	0.115	0.5	0.617	0.81	0
ENSG00000018610	643	0.097	0.102	0.954	0.34	0.612	0
ENSG00000077721	1580	-0.0683	0.0929	-0.736	0.462	0.705	0
ENSG00000005022	8090	-0.102	0.0994	-1.02	0.307	0.581	0
ENSG00000224281	35.4	-0.148	0.367	-0.403	0.687		0
ENSG00000237903	1.8	0.564	1.41	0.399	0.69		2
ENSG00000077713	156	-0.179	0.175	-1.02	0.308	0.581	0
ENSG00000175556	7.44	0.498	0.949	0.525	0.6		1
ENSG00000235244	93.4	0.469	0.281	1.67	0.0953	0.341	0
ENSG00000102024	7750	0.0145	0.0904	0.16	0.873	0.944	0
ENSG00000123496	0.615	1.86	2.71	0.687	0.492		7
ENSG00000289287	14.7	1.5	1.77	0.85	0.395		1
ENSG00000288595	162	-1.11	1.09	-1.02	0.308	0.581	0
ENSG00000077279	544	0.0655	0.162	0.405	0.685	0.851	0
ENSG00000133136	0.656	-3	2.73	-1.1	0.271		8
ENSG00000224142	0.567	0.0651	3.13	0.0208	0.983		9
ENSG00000157600	1410	-0.0488	0.13	-0.377	0.706	0.862	0
ENSG00000289365	6.02	1.02	0.91	1.13	0.261		0
ENSG00000068366	2780	0.246	0.133	1.85	0.0647	0.292	0
ENSG00000101890	2.34	-0.114	1.43	-0.0797	0.936		3
ENSG00000237863	42	0.654	0.404	1.62	0.105		0
ENSG00000197565	1350	-0.3	0.206	-1.46	0.145	0.413	0
ENSG00000101844	120	0.424	0.225	1.89	0.0593	0.281	0
ENSG00000080561	95.5	0.516	0.267	1.93	0.0531	0.269	0
ENSG00000198088	109	0.673	0.277	2.43	0.0153	0.17	0
ENSG00000133131	119	0.00707	0.223	0.0317	0.975	0.99	0
ENSG00000133138	320	0.528	0.253	2.09	0.0367	0.229	0
ENSG00000133135	61.9	0.00881	0.337	0.0261	0.979	0.992	0
ENSG00000157502	94.3	0.0955	0.245	0.389	0.697	0.857	0
ENSG00000189108	5.53	0.018	0.872	0.0206	0.984		0
ENSG00000166707	66.6	-0.349	0.27	-1.29	0.196	0.471	0
ENSG00000269226	98.5	-0.645	0.339	-1.91	0.0567	0.276	0
ENSG00000101812	2.18	2.02	1.61	1.25	0.211		2
ENSG00000231728	21	-0.145	0.515	-0.282	0.778		0
ENSG00000172476	7.8	0.977	0.973	1	0.315		1
ENSG00000234405	40.5	0.338	0.327	1.04	0.301		0
ENSG00000185222	1130	0.0906	0.0921	0.984	0.325	0.598	0
ENSG00000182916	408	0.145	0.153	0.946	0.344	0.615	0
ENSG00000133134	904	-0.145	0.128	-1.13	0.257	0.533	0
ENSG00000286846	8.01	0.346	0.87	0.398	0.691		0
ENSG00000286237	42.1	1.91	1.69	1.13	0.257		2
ENSG00000158301	1430	0.29	0.172	1.68	0.0921	0.337	0
ENSG00000125962	767	0.118	0.111	1.06	0.29	0.567	0
ENSG00000290811	3.39	0.025	1.25	0.02	0.984		5
ENSG00000215029	9.22	0.162	0.762	0.213	0.831		0
ENSG00000269405	0.841	0.474	2.49	0.19	0.849		7
ENSG00000286794	0.632	1.03	3.27	0.315	0.753		9
ENSG00000204071	14.7	-0.265	0.633	-0.419	0.676		0
ENSG00000184905	489	-0.145	0.145	-1	0.317	0.59	0
ENSG00000184867	4170	0.0709	0.109	0.649	0.517	0.745	0
ENSG00000102401	1310	0.187	0.115	1.62	0.104	0.354	0
ENSG00000290908	5.32	0.412	1.61	0.256	0.798		6
ENSG00000010671	30.4	0.91	0.406	2.24	0.0251		0
ENSG00000102384	1420	0.22	0.149	1.47	0.141	0.407	0
ENSG00000204086	4.66	1.19	0.947	1.25	0.21		0
ENSG00000147202	827	-0.119	0.155	-0.765	0.444	0.692	0
ENSG00000186310	1310	0.189	0.122	1.55	0.122	0.38	0
ENSG00000289479	5230	-0.21	0.128	-1.64	0.102	0.352	0
ENSG00000184788	22.7	0.0478	0.404	0.118	0.906		0
ENSG00000072133	904	0.172	0.133	1.29	0.197	0.472	0
ENSG00000196767	176	0.296	0.348	0.852	0.394	0.656	0
ENSG00000131171	1870	0.152	0.129	1.18	0.239	0.516	0
ENSG00000147255	1620	-0.175	0.108	-1.62	0.106	0.357	0
ENSG00000198157	749	0.185	0.134	1.38	0.167	0.438	0
ENSG00000165288	4610	0.323	0.114	2.84	0.0045	0.115	0
ENSG00000122145	13.8	-0.154	0.557	-0.276	0.782		0
ENSG00000078596	677	0.353	0.192	1.84	0.0655	0.293	0
ENSG00000102158	2920	0.128	0.0623	2.05	0.0403	0.238	0
ENSG00000198934	306	0.268	0.233	1.15	0.249	0.526	0
ENSG00000102390	1170	-0.156	0.106	-1.47	0.141	0.408	0
ENSG00000094841	516	-0.105	0.133	-0.785	0.432	0.684	0
ENSG00000147100	2160	-0.319	0.111	-2.88	0.00399	0.111	0
ENSG00000225470	1570	-0.0686	0.135	-0.51	0.61	0.807	0
ENSG00000229807	8.2	-0.262	0.751	-0.348	0.728		0
ENSG00000131264	117	-0.128	0.261	-0.489	0.625	0.816	0
ENSG00000231963	5.48	2.55	1.52	1.68	0.093		4
ENSG00000186288	25.8	0.0628	0.524	0.12	0.904		0
ENSG00000269911	46.5	0.88	0.371	2.37	0.0176	0.179	0
ENSG00000147099	755	0.0974	0.152	0.639	0.523	0.749	0
ENSG00000198034	22900	-0.244	0.0891	-2.73	0.00624	0.13	0
ENSG00000186871	2160	-0.0509	0.0905	-0.562	0.574	0.784	0
ENSG00000102309	585	-0.306	0.145	-2.1	0.0354	0.226	0
ENSG00000204131	1560	0.13	0.211	0.616	0.538	0.76	0
ENSG00000215113	0.92	-1.65	3.26	-0.505	0.614		10
ENSG00000281852	60.1	0.0965	0.285	0.338	0.735	0.878	0
ENSG00000283599	1.97	0.074	1.49	0.0496	0.96		6
ENSG00000147133	3700	0.0607	0.0868	0.699	0.485	0.721	0
ENSG00000147140	26900	-0.119	0.099	-1.2	0.23	0.507	0
ENSG00000196338	1030	-0.287	0.143	-2.01	0.0448	0.251	0
ENSG00000184634	2510	-0.233	0.115	-2.03	0.0428	0.244	0
ENSG00000147168	1.51	0.18	2.42	0.0741	0.941		8
ENSG00000184481	662	-0.433	0.209	-2.07	0.038	0.233	0
ENSG00000165349	2830	-0.266	0.201	-1.32	0.186	0.459	0
ENSG00000120509	564	0.105	0.101	1.04	0.298	0.574	0
ENSG00000089289	1180	-0.067	0.0895	-0.748	0.454	0.698	0
ENSG00000189401	1.96	1.19	1.61	0.737	0.461		4
ENSG00000158813	325	-0.0347	0.155	-0.223	0.823	0.922	0
ENSG00000181704	2060	0.0913	0.0986	0.926	0.355	0.624	0
ENSG00000289038	3.62	0.0052	1.33	0.00392	0.997		0
ENSG00000089472	3080	-0.204	0.0951	-2.15	0.0319	0.216	0
ENSG00000198881	7.86	-2.08	0.857	-2.43	0.0151		0
ENSG00000184675	1500	-0.275	0.197	-1.4	0.162	0.434	0
ENSG00000186767	964	0.291	0.0959	3.04	0.00237	0.099	0
ENSG00000235437	1090	0.00664	0.127	0.0523	0.958	0.983	0
ENSG00000198205	159	0.28	0.208	1.35	0.177	0.448	0
ENSG00000147059	96.6	-0.641	0.298	-2.15	0.0315	0.216	0
ENSG00000186787	188	0.13	0.171	0.758	0.449	0.695	0
ENSG00000102349	573	0.316	0.141	2.23	0.0256	0.201	0
ENSG00000227486	65.5	0.121	0.276	0.438	0.661	0.838	0
ENSG00000083750	239	-0.186	0.142	-1.31	0.191	0.464	0
ENSG00000247746	649	0.306	0.175	1.75	0.0795	0.317	0
ENSG00000182518	280	-0.128	0.163	-0.785	0.432	0.684	0
ENSG00000130119	4950	-0.166	0.0732	-2.27	0.0232	0.197	0
ENSG00000196632	2960	0.0413	0.109	0.38	0.704	0.861	0
ENSG00000184083	429	0.151	0.147	1.03	0.303	0.577	0
ENSG00000158423	28.8	-0.274	0.364	-0.754	0.451		0
ENSG00000235262	2.53	-1.95	1.4	-1.39	0.165		3
ENSG00000126012	4590	-0.127	0.077	-1.64	0.1	0.349	0
ENSG00000232593	439	0.457	0.166	2.75	0.00604	0.128	0
ENSG00000184205	971	0.103	0.108	0.948	0.343	0.614	0
ENSG00000287215	4.63	1.4	1.09	1.29	0.197		1
ENSG00000179222	4790	-0.136	0.129	-1.06	0.291	0.567	0
ENSG00000189369	1890	-0.155	0.095	-1.63	0.102	0.352	0
ENSG00000223591	48.1	0.883	4.08	0.216			7
ENSG00000283093	54.9	-7.44	3.52	-2.11	0.0347	0.223	7
ENSG00000224109	139	0.0643	0.23	0.28	0.779	0.899	0
ENSG00000226530	67.2	0.547	0.325	1.69	0.0918	0.337	0
ENSG00000230317	3.01	-0.224	1.42	-0.158	0.875		2
ENSG00000158352	384	-0.481	0.202	-2.39	0.017	0.177	0
ENSG00000274588	1140	-0.851	0.366	-2.33	0.02	0.188	0
ENSG00000270012	93.3	-0.144	0.209	-0.691	0.49	0.724	0
ENSG00000286181	36.1	0.451	0.367	1.23	0.219		0
ENSG00000012211	139	0.286	0.277	1.03	0.302	0.576	0
ENSG00000269313	7.92	0.839	0.939	0.894	0.371		0
ENSG00000243279	267	-0.104	0.164	-0.631	0.528	0.753	0
ENSG00000068400	2890	-0.0175	0.0907	-0.193	0.847	0.932	0
ENSG00000102100	581	0.146	0.115	1.28	0.202	0.477	0
ENSG00000187682	7.78	-0.109	0.944	-0.115	0.908		0
ENSG00000094631	1490	0.0852	0.109	0.781	0.435	0.686	0
ENSG00000171433	1.37	-0.148	1.95	-0.0757	0.94		6
ENSG00000015285	28.6	-0.266	0.408	-0.653	0.514		0
ENSG00000102317	5670	-0.0675	0.156	-0.434	0.664	0.839	0
ENSG00000147155	1340	0.049	0.112	0.436	0.663	0.838	0
ENSG00000102312	240	-0.053	0.205	-0.259	0.796	0.908	0
ENSG00000268009	5.32	-1.13	1.42	-0.795	0.426		4
ENSG00000126752	1.73	1.74	2.14	0.813	0.416		4
ENSG00000171478	0.88	0.596	2.15	0.278	0.781		7
ENSG00000287757	4.09	0.669	1.13	0.593	0.553		0
ENSG00000197779	789	0.0832	0.129	0.642	0.521	0.747	0
ENSG00000267064	11.7	0.534	0.648	0.823	0.41		0
ENSG00000126756	496	-0.213	0.161	-1.33	0.185	0.458	0
ENSG00000078061	983	-0.362	0.119	-3.03	0.00241	0.0993	0
ENSG00000289890	4.58	1.36	1.06	1.29	0.198		0
ENSG00000196741	37.9	0.433	0.349	1.24	0.214		0
ENSG00000147124	460	-0.134	0.136	-0.984	0.325	0.598	0
ENSG00000102226	3820	0.0463	0.0833	0.556	0.578	0.786	0
ENSG00000147123	1340	-0.142	0.135	-1.05	0.293	0.569	0
ENSG00000130988	32.6	0.857	0.528	1.62	0.104		0
ENSG00000102221	1800	0.161	0.107	1.51	0.131	0.394	0
ENSG00000204904	5.98	0.512	0.908	0.564	0.573		0
ENSG00000065923	1690	0.00381	0.193	0.0197	0.984	0.993	0
ENSG00000251192	257	-0.0719	0.163	-0.44	0.66	0.837	0
ENSG00000270069	270	-0.127	0.161	-0.787	0.431	0.684	0
ENSG00000224294	0.507	2.46	3.35	0.734	0.463		9
ENSG00000188937	1.7	-0.0244	1.94	-0.0126	0.99		5
ENSG00000126950	198	0.0352	0.159	0.222	0.825	0.922	0
ENSG00000223486	6.43	-0.322	1.05	-0.307	0.759		1
ENSG00000238123	0.509	1.85	3.38	0.549	0.583		9
ENSG00000156313	447	0.109	0.125	0.869	0.385	0.65	0
ENSG00000165168	7.85	0.0516	0.873	0.0591	0.953		0
ENSG00000147036	22.2	0.646	0.512	1.26	0.207		0
ENSG00000130962	387	0.208	0.13	1.6	0.109	0.361	0
ENSG00000174016	5.11	0.0388	0.995	0.039	0.969		1
ENSG00000165164	9.12	1.12	0.92	1.22	0.223		0
ENSG00000233928	7.17	0.845	0.813	1.04	0.299		0
ENSG00000198947	835	0.263	0.212	1.24	0.214	0.488	0
ENSG00000198814	396	0.156	0.153	1.02	0.309	0.583	0
ENSG00000169297	1.02	3.68	2.39	1.54	0.123		7
ENSG00000004848	1.6	-3.06	1.73	-1.77	0.0774		3
ENSG00000101868	3230	-0.109	0.101	-1.08	0.28	0.557	0
ENSG00000289472	8.81	-0.429	0.713	-0.601	0.548		0
ENSG00000174010	929	0.145	0.102	1.43	0.153	0.423	0
ENSG00000165182	1.6	1.06	1.83	0.578	0.563		5
ENSG00000184831	541	-0.0176	0.123	-0.143	0.886	0.951	0
ENSG00000123130	1070	-0.0153	0.117	-0.131	0.896	0.955	0
ENSG00000123131	1960	-0.261	0.104	-2.51	0.012	0.159	0
ENSG00000165186	201	-0.831	0.274	-3.04	0.00239	0.0993	0
ENSG00000233067	0.686	2.88	3.13	0.919	0.358		9
ENSG00000102174	10.5	-0.649	0.742	-0.874	0.382		0
ENSG00000288832	3.33	0.972	1.15	0.845	0.398		1
ENSG00000149970	1050	0.194	0.127	1.52	0.128	0.388	0
ENSG00000283380	0.698	1.85	3.47	0.534	0.593		10
ENSG00000184368	181	0.111	0.221	0.504	0.614	0.81	0
ENSG00000147010	1130	-0.27	0.148	-1.83	0.0676	0.296	0
ENSG00000180815	106	0.0326	0.24	0.136	0.892	0.954	0
ENSG00000173698	901	0.00274	0.173	0.0159	0.987	0.994	0
ENSG00000044446	1300	-0.011	0.0814	-0.136	0.892	0.954	0
ENSG00000237836	1.3	3.45	2.22	1.55	0.12		6
ENSG00000086717	11.6	0.264	0.566	0.465	0.642		0
ENSG00000008086	1860	0.00204	0.105	0.0194	0.984	0.993	0
ENSG00000102098	1220	0.145	0.104	1.4	0.163	0.434	0
ENSG00000225882	2.49	-1.92	1.41	-1.37	0.172		2
ENSG00000047634	72	0.632	0.29	2.18	0.0294	0.21	0
ENSG00000235834	3.62	-0.368	1.16	-0.317	0.751		0
ENSG00000169891	232	-0.0639	0.204	-0.313	0.754	0.888	0
ENSG00000238178	3.37	1.25	1.18	1.06	0.289		2
ENSG00000126010	317	-0.198	0.259	-0.767	0.443	0.692	0
ENSG00000182287	6470	0.254	0.125	2.03	0.042	0.241	0
ENSG00000147003	67.2	-0.0199	0.286	-0.0697	0.944	0.977	0
ENSG00000130234	10.3	-0.394	0.673	-0.586	0.558		0
ENSG00000087842	344	-0.381	0.198	-1.92	0.0544	0.271	0
ENSG00000101958	0.47	0.0091	3.86	0.00236	0.998		10
ENSG00000046647	303	-0.332	0.157	-2.12	0.0341	0.222	0
ENSG00000289449	5.42	0.703	0.838	0.84	0.401		0
ENSG00000123595	595	-0.0018	0.118	-0.0153	0.988	0.994	0
ENSG00000176896	151	-0.139	0.197	-0.705	0.481	0.719	0
ENSG00000233338	2.93	0.164	1.58	0.104	0.918		3
ENSG00000196664	0.812	-0.12	2.62	-0.0459	0.963		8
ENSG00000101911	1270	0.205	0.111	1.85	0.0638	0.29	0
ENSG00000047648	26.4	-0.152	0.454	-0.334	0.738		0
ENSG00000101871	2360	-0.24	0.148	-1.62	0.105	0.355	0
ENSG00000101850	453	0.0732	0.152	0.481	0.63	0.819	0
ENSG00000101849	2980	-0.158	0.138	-1.14	0.254	0.532	0
ENSG00000101846	176	0.707	0.24	2.94	0.00324	0.108	0
ENSG00000006756	225	0.361	0.192	1.88	0.0599	0.282	0
