DE_group	knockout_gene_strategy	n_ko	n_WT
CBO_day_5_CE	FEZF2_CE	3	4
CBO_day_5_KO	FEZF2_KO	3	4
CBO_day_5_PTC	FEZF2_PTC	3	4
CBO_day3_and_day4_CE	LHX5_CE	6	8
CBO_day3_and_day4_KO	LHX5_KO	6	8
CBO_day3_and_day4_PTC	LHX5_PTC	6	8
