DE_group	knockout_gene_strategy	n_ko	n_WT
CBO_day_9	PAX6_PTC	3	3
CBO_day_9	PAX6_reverted	3	3
PrS_day_6_hyp_EPAS1	EPAS1_reverted	3	3
PrS_day_6_nor_EPAS1	EPAS1_reverted	3	3
PrS_day_6_nor_GCM1-GHRL1	GCM1_reverted	3	3
PrS_day_6_nor_GCM1-GHRL1	GHRL1_reverted	3	3
PrS_day_6_nor_PPARG	PPARG_reverted	3	3
