model_system_day	knockout_gene_strategy	n_hyp	n_nor
PrS_day_6	ASCL2_PTC	3	3
PrS_day_6	ELF5_PTC	3	3
PrS_day_6	HIF1A_PTC	3	3
PrS_day_6	TP63_PTC	3	3
PrS_day_6	WT_WT	3	8
