gene_ID	day_4_vs_day_2_baseMean	day_4_vs_day_2_log2FoldChange	day_4_vs_day_2_lfcSE	day_4_vs_day_2_stat	day_4_vs_day_2_pvalue	day_4_vs_day_2_padj	day_4_vs_day_2_n_zeros
ENSG00000271254	544	0.36	0.186	1.94	0.0529	0.205	0
ENSG00000276345	28.2	0.453	0.501	0.904	0.366	0.642	0
ENSG00000277196	1660	-0.0344	0.123	-0.279	0.78	0.91	0
ENSG00000278817	43.6	0.196	0.455	0.43	0.667	0.855	0
ENSG00000280969	1.79	0.424	1.65	0.256	0.798		0
ENSG00000198692	555	-0.242	0.157	-1.54	0.125	0.351	0
ENSG00000229236	9.38	1.28	0.785	1.64	0.102	0.311	0
ENSG00000260197	53.2	0.332	0.361	0.92	0.357	0.635	0
ENSG00000290853	445	-0.0217	0.165	-0.132	0.895	0.96	0
ENSG00000067048	3810	-0.251	0.139	-1.8	0.0715	0.248	0
ENSG00000286009	4.35	-0.684	1.14	-0.602	0.547		0
ENSG00000291034	1.44	1.15	2.09	0.548	0.584		1
ENSG00000277930	4.43	0.459	1.13	0.407	0.684		0
ENSG00000231535	4.61	0.547	1.15	0.474	0.636		0
ENSG00000278847	1.14	-1.34	2.38	-0.562	0.574		2
ENSG00000182484	406	0.15	0.18	0.829	0.407	0.679	0
ENSG00000124334	3.96	0.367	1.16	0.318	0.751		0
ENSG00000124333	983	0.0048	0.123	0.039	0.969	0.989	0
ENSG00000224533	5.76	0.458	1.21	0.377	0.706		1
ENSG00000155961	433	0.088	0.145	0.606	0.545	0.78	0
ENSG00000154620	110	-0.488	0.284	-1.72	0.0858	0.279	0
ENSG00000130830	53.7	-0.425	0.36	-1.18	0.238	0.51	0
ENSG00000272681	1.43	-0.834	1.97	-0.423	0.672		1
ENSG00000269335	366	-0.128	0.161	-0.794	0.427	0.695	0
ENSG00000160211	1030	-0.0645	0.13	-0.496	0.62	0.827	0
ENSG00000102178	623	0.00304	0.163	0.0186	0.985	0.994	0
ENSG00000130827	549	0.318	0.174	1.83	0.0673	0.239	0
ENSG00000071859	1210	0.315	0.154	2.05	0.0399	0.17	0
ENSG00000013563	230	0.477	0.178	2.68	0.00729	0.0507	0
ENSG00000280195	40	0.243	0.379	0.642	0.521	0.763	0
ENSG00000007350	1.15	-0.315	2.03	-0.155	0.877		0
ENSG00000169057	1680	0.173	0.111	1.56	0.118	0.341	0
ENSG00000177854	21.9	0.714	0.526	1.36	0.175	0.426	0
ENSG00000102032	109	0.23	0.244	0.943	0.346	0.623	0
ENSG00000089820	371	-0.149	0.167	-0.893	0.372	0.649	0
ENSG00000198910	291	-1.26	0.206	-6.15	7.86e-10	4.63e-08	0
ENSG00000067840	421	-2.81	0.209	-13.4	4.23e-41	3.89e-38	0
ENSG00000180879	691	-0.166	0.149	-1.12	0.264	0.54	0
ENSG00000067829	797	-0.218	0.143	-1.52	0.129	0.358	0
ENSG00000198753	3.48	-0.622	1.37	-0.454	0.65		0
ENSG00000185825	1230	-0.107	0.131	-0.813	0.416	0.687	0
ENSG00000130822	105	0.767	0.265	2.89	0.00385	0.0312	0
