release	gene	condition	day	nGenes	nDE_05	nDE_01	key	ko_strategy	expression_alteration.label	model_system	model_organ	label	description	max_nDE_01
2024_09_JAX_RNAseq7_Reversion	EPAS1	Reversion;hypoxia	day_6	20041	174	8	EPAS1_Reversion;hypoxia_day_6	reverted	JAX_EPAS1_Termination_codon_Reversion	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20012R-A03-hyp;PrS-MOK20012R-A05-hyp;PrS-MOK20012R-A06-hyp	KOLF2.2J reverted EPAS1 deletion by removal of PTC derived primitive syncytium in hypoxia	2230
2024_09_JAX_RNAseq7_Reversion	EPAS1	Reversion	day_6	19813	687	185	EPAS1_Reversion_day_6	reverted	JAX_EPAS1_Termination_codon_Reversion	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20012R-A03-nor;PrS-MOK20012R-A05-nor;PrS-MOK20012R-A06-nor	KOLF2.2J reverted EPAS1 deletion by removal of PTC derived primitive syncytium in normoxia	2230
2024_09_JAX_RNAseq7_Reversion	GCM1	Reversion	day_6	22569	2220	497	GCM1_Reversion_day_6	reverted	JAX_GCM1_Termination_codon_Reversion	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20013R-B01;PrS-MOK20013R-B06;PrS-MOK20013R-C04	KOLF2.2J reverted GCM1 deletion by removal of PTC derived primitive syncytium	5964
2024_09_JAX_RNAseq7_Reversion	GRHL1	Reversion	day_6	22569	146	27	GRHL1_Reversion_day_6	reverted	JAX_GRHL1_Termination_codon_Reversion	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20022R-C09;PrS-MOK20022R-D07;PrS-MOK20022R-D09	KOLF2.2J reverted GRHL1 deletion by removal of PTC derived primitive syncytium	4130
2024_09_JAX_RNAseq7_Reversion	PPARG	Reversion	day_6	19577	5313	1003	PPARG_Reversion_day_6	reverted	JAX_PPARG_Termination_codon_Reversion	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20026R-A07;PrS-MOK20026R-A08;PrS-MOK20026R-A09	KOLF2.2J reverted PPARG deletion by removal of PTC derived primitive syncytium	3257
2025_06_JAX_RNAseq08	MAFB	""	day_6	20321	16	6	MAFB_day_6	PTC	JAX_MAFB_Termination_codon	ExM	Fibroblast of villous mesenchyme (CL:0002558)	ExM-MOK20108P-A02;ExM-MOK20108P-C04;ExM-MOK20108P-D05	KOLF2.2J derived knockout cell line, MAFB PTC, differentiated to the trophoblast lineage and favoring mesenchymal cell formation	6
2025_06_JAX_RNAseq08	ASCL2	hypoxia	day_6	22499	4831	1825	ASCL2_hypoxia_day_6	PTC	JAX_ASCL2_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20098P-B06-hyp;PrS-MOK20098P-D02-hyp;PrS-MOK20098P-E05-hyp	KOLF2.2J derived knockout cell line, ASCL2 PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation in 3% oxygen	1825
2025_06_JAX_RNAseq08	ELF5	hypoxia	day_6	22499	6584	2705	ELF5_hypoxia_day_6	PTC	JAX_ELF5_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20101P-A04-hyp;PrS-MOK20101P-B06-hyp;PrS-MOK20101P-H01-hyp	KOLF2.2J derived knockout cell line, ELF5 PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation in 3% oxygen	2705
2025_06_JAX_RNAseq08	HIF1A	hypoxia	day_6	22499	3311	905	HIF1A_hypoxia_day_6	PTC	JAX_HIF1A_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20105P-A04-hyp;PrS-MOK20105P-A05-hyp;PrS-MOK20105P-A06-hyp	KOLF2.2J derived knockout cell line, HIF1A PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation in 3% oxygen	905
2025_06_JAX_RNAseq08	TP63	hypoxia	day_6	22499	86	32	TP63_hypoxia_day_6	PTC	JAX_TP63_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20125P-C07-hyp;PrS-MOK20125P-C10-hyp;PrS-MOK20125P-G12-hyp	KOLF2.2J derived knockout cell line, TP63 PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation in 3% oxygen	32
2025_06_JAX_RNAseq08	ASCL2	""	day_6	21473	2	0	ASCL2_day_6	PTC	JAX_ASCL2_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20098P-A01-nor;PrS-MOK20098P-B06-nor;PrS-MOK20098P-D02-nor	KOLF2.2J derived knockout cell line, ASCL2 PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation in 20% oxygen	1825
2025_06_JAX_RNAseq08	DLX3	""	day_6	21782	2584	1427	DLX3_day_6	PTC	JAX_DLX3_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20046P-C03;PrS-MOK20046P-F02;PrS-MOK20046P-H01	KOLF2.2J derived knockout cell line, DLX3 PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation	1427
2025_06_JAX_RNAseq08	ELF5	""	day_6	21473	399	45	ELF5_day_6	PTC	JAX_ELF5_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20101P-B06-nor;PrS-MOK20101P-E01-nor;PrS-MOK20101P-H01-nor	KOLF2.2J derived knockout cell line, ELF5 PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation in 20% oxygen	2705
2025_06_JAX_RNAseq08	HIF1A	""	day_6	20600	13	2	HIF1A_day_6	PTC	JAX_HIF1A_Termination_codon	PrS	Extra-embryonic primitive syncytial cells	PrS-MOK20105P-A04-nor;PrS-MOK20105P-A05-nor;PrS-MOK20105P-A06-nor	KOLF2.2J derived knockout cell line, HIF1A PTC, differentiated to the trophoblast lineage and favoring primitive syncytium formation in 20% oxygen	905
