gene_ID	DLX4_PTC_baseMean	DLX4_PTC_log2FoldChange	DLX4_PTC_lfcSE	DLX4_PTC_stat	DLX4_PTC_pvalue	DLX4_PTC_padj	DLX4_PTC_n_zeros
ENSG00000271254	807	-0.127	0.0743	-1.71	0.0881	1	0
ENSG00000276345	0.972	0.485	2.12	0.229	0.819		3
ENSG00000277196	37.9	0.0792	0.282	0.281	0.779	1	0
ENSG00000278817	58.2	0.11	0.284	0.387	0.698	1	0
ENSG00000198692	310	-0.075	0.146	-0.515	0.607	1	0
ENSG00000229236	3.83	1.32	1.08	1.22	0.223		0
ENSG00000260197	11.3	-0.936	0.499	-1.88	0.0605	1	0
ENSG00000290853	90.9	-0.261	0.211	-1.24	0.215	1	0
ENSG00000067048	2630	-0.00517	0.0542	-0.0954	0.924	1	0
ENSG00000286009	1.15	1.47	1.86	0.792	0.428		3
ENSG00000290323	1.41	1.48	1.64	0.897	0.369		3
ENSG00000277930	0.326	-0.0371	3.23	-0.0115	0.991		4
ENSG00000176679	0.742	-0.0371	2.19	-0.0169	0.986		4
ENSG00000231535	195	-0.263	0.212	-1.24	0.215	1	0
ENSG00000233070	29.8	0.182	0.294	0.619	0.536	1	0
ENSG00000278847	0.971	1.01	1.69	0.599	0.549		2
ENSG00000182484	372	-0.00372	0.16	-0.0232	0.982	1	0
ENSG00000124334	2.97	-1.06	1.24	-0.856	0.392		1
ENSG00000124333	653	-0.252	0.0896	-2.82	0.00488	0.769	0
ENSG00000224533	1.72	0.877	1.99	0.441	0.659		3
ENSG00000155961	9.2	-0.281	0.589	-0.477	0.633	1	0
ENSG00000274183	0.715	1.85	2.8	0.66	0.509		5
ENSG00000203870	25.9	0.0349	0.326	0.107	0.915	1	0
ENSG00000154620	148	0.121	0.926	0.13	0.896	1	0
ENSG00000130830	6550	-0.0665	0.123	-0.539	0.59	1	0
ENSG00000272681	1.66	-0.02	1.4	-0.0143	0.989		2
ENSG00000269335	320	0.0394	0.115	0.342	0.732	1	0
ENSG00000160211	1190	0.0214	0.0634	0.337	0.736	1	0
ENSG00000102178	462	-0.129	0.118	-1.09	0.274	1	0
ENSG00000130827	730	0.00354	0.138	0.0257	0.979	1	0
ENSG00000071859	1100	0.137	0.104	1.32	0.187	1	0
ENSG00000013563	144	0.0339	0.163	0.208	0.836	1	0
ENSG00000280195	10.9	0.682	0.567	1.2	0.229	1	0
ENSG00000169057	491	0.0229	0.126	0.182	0.855	1	0
ENSG00000177854	24.4	0.446	0.359	1.24	0.214	1	0
ENSG00000102032	2.49	0.372	1.22	0.305	0.76		1
ENSG00000089820	21.1	-0.252	0.349	-0.721	0.471	1	0
ENSG00000198910	151	0.35	0.609	0.574	0.566	1	0
ENSG00000067840	1.62	0.545	1.42	0.383	0.702		1
ENSG00000180879	1640	0.0822	0.122	0.675	0.5	1	0
ENSG00000067829	672	0.13	0.094	1.39	0.165	1	0
ENSG00000198753	2.32	0.997	1.08	0.921	0.357		1
ENSG00000185825	2930	0.113	0.116	0.977	0.329	1	0
ENSG00000130822	41.8	0.92	0.446	2.06	0.0393	1	0
ENSG00000067842	659	0.113	0.232	0.484	0.628	1	0
ENSG00000183837	3.27	-1.13	0.947	-1.19	0.233		0
ENSG00000147383	523	0.043	0.0964	0.445	0.656	1	0
ENSG00000147400	367	0.0551	0.0964	0.572	0.567	1	0
ENSG00000160131	972	-0.0902	0.13	-0.694	0.488	1	0
ENSG00000029993	3830	0.205	0.202	1.02	0.309	1	0
ENSG00000102181	280	0.143	0.13	1.1	0.272	1	0
ENSG00000063601	1020	-0.0882	0.0775	-1.14	0.255	1	0
ENSG00000013619	0.588	0.85	2.18	0.39	0.697		3
ENSG00000269556	229	-0.229	0.124	-1.84	0.0656	1	0
ENSG00000241769	21.2	-0.0321	0.428	-0.0751	0.94	1	0
ENSG00000277215	1.19	-1.05	1.72	-0.612	0.54		1
ENSG00000182195	311	0.0362	0.12	0.301	0.763	1	0
ENSG00000134595	0.764	1.47	2.45	0.601	0.548		4
ENSG00000129682	201	-0.127	0.241	-0.526	0.599	1	0
ENSG00000291054	12.5	0.353	0.532	0.664	0.507	1	0
ENSG00000233093	1.6	-0.5	1.48	-0.338	0.735		1
ENSG00000102243	4620	0.0572	0.0879	0.651	0.515	1	0
ENSG00000165359	94.3	-0.0744	0.188	-0.396	0.692	1	0
ENSG00000178947	7.88	-0.0527	0.635	-0.0831	0.934	1	0
ENSG00000173275	121	-0.0205	0.175	-0.117	0.907	1	0
ENSG00000169551	0.654	-0.0154	2.28	-0.00678	0.995		2
ENSG00000203950	304	0.0143	0.133	0.108	0.914	1	0
ENSG00000184785	15.3	0.274	0.477	0.575	0.565	1	0
ENSG00000101928	726	-0.0524	0.168	-0.311	0.756	1	0
ENSG00000156504	564	-0.123	0.125	-0.981	0.326	1	0
ENSG00000170965	4.99	-0.401	0.75	-0.534	0.593	1	0
ENSG00000156531	888	-0.26	0.109	-2.38	0.0175	1	0
ENSG00000147257	23.4	-0.404	0.382	-1.06	0.29	1	0
ENSG00000076770	45900	-0.209	0.0933	-2.24	0.0253	1	0
ENSG00000134602	1450	-0.212	0.0765	-2.76	0.00571	0.79	0
ENSG00000213468	495	-0.0102	0.164	-0.062	0.951	1	0
ENSG00000147256	1.83	1.55	1.48	1.05	0.295		2
ENSG00000102078	102	-0.0696	0.172	-0.404	0.686	1	0
ENSG00000085185	4450	-0.0186	0.169	-0.11	0.912	1	0
ENSG00000188706	986	0.132	0.0903	1.46	0.145	1	0
ENSG00000198354	1.34	-1.6	1.53	-1.05	0.295		1
ENSG00000009694	12.6	-0.135	0.518	-0.261	0.794	1	0
ENSG00000101966	1810	-0.0831	0.0903	-0.92	0.358	1	0
ENSG00000125676	2680	-0.0419	0.0912	-0.459	0.646	1	0
ENSG00000171155	338	-0.131	0.137	-0.957	0.339	1	0
ENSG00000158290	1850	-0.0226	0.071	-0.318	0.75	1	0
ENSG00000005893	3130	-0.038	0.0577	-0.659	0.51	1	0
ENSG00000125355	2.28	0.711	1.37	0.52	0.603		0
ENSG00000258545	8.01	0.834	0.627	1.33	0.183	1	0
ENSG00000125352	209	0.157	0.193	0.815	0.415	1	0
ENSG00000286366	1.81	-0.296	1.24	-0.238	0.812		1
ENSG00000125354	1520	-0.0401	0.0651	-0.616	0.538	1	0
ENSG00000018610	487	0.0858	0.149	0.576	0.564	1	0
ENSG00000077721	2910	-0.02	0.143	-0.14	0.889	1	0
ENSG00000005022	4450	0.0506	0.0815	0.621	0.535	1	0
ENSG00000224281	8.03	-0.505	0.613	-0.823	0.41	1	0
ENSG00000237903	1.01	-0.63	1.78	-0.354	0.724		1
ENSG00000077713	78.2	0.0525	0.206	0.254	0.799	1	0
ENSG00000175556	13.8	-0.216	0.454	-0.476	0.634	1	0
ENSG00000235244	48.8	-0.34	0.314	-1.08	0.278	1	0
ENSG00000102024	5280	0.032	0.0702	0.456	0.649	1	0
ENSG00000288595	1.6	0.45	1.46	0.31	0.757		2
ENSG00000077279	2.58	0.517	1.19	0.435	0.664		0
ENSG00000133136	0.675	0.577	1.99	0.291	0.771		2
ENSG00000224142	2.51	-2.15	1.16	-1.85	0.0637		0
ENSG00000157600	989	-0.0521	0.107	-0.486	0.627	1	0
ENSG00000289365	2.15	0.433	1.15	0.377	0.706		0
ENSG00000068366	3690	0.0215	0.0981	0.219	0.827	1	0
ENSG00000101890	1.71	-1.33	1.52	-0.879	0.379		1
ENSG00000237863	1.49	-0.744	1.43	-0.521	0.603		1
ENSG00000197565	629	-0.0362	0.112	-0.324	0.746	1	0
ENSG00000101844	252	-0.0828	0.143	-0.578	0.563	1	0
ENSG00000080561	20	0.576	0.379	1.52	0.128	1	0
ENSG00000198088	22.9	0.176	0.359	0.491	0.623	1	0
ENSG00000165376	1.44	-3.11	1.65	-1.88	0.0601		2
ENSG00000147223	2.18	-0.00803	1.08	-0.00744	0.994		0
ENSG00000133131	4370	0.24	0.195	1.23	0.219	1	0
ENSG00000133138	163	0.177	0.156	1.14	0.256	1	0
ENSG00000133135	887	-0.0136	0.119	-0.115	0.908	1	0
ENSG00000157502	927	-0.164	0.126	-1.3	0.193	1	0
ENSG00000189108	18.3	0.315	0.479	0.657	0.511	1	0
ENSG00000166707	2.42	0.288	1.22	0.235	0.814		1
ENSG00000269226	11.4	-0.0502	0.804	-0.0624	0.95	1	0
ENSG00000231728	3.66	0.32	1.18	0.272	0.786		1
ENSG00000172476	1.89	0.15	1.25	0.12	0.904		1
ENSG00000234405	6.87	-0.332	0.857	-0.388	0.698	1	1
ENSG00000185222	1170	-0.0624	0.14	-0.444	0.657	1	0
ENSG00000182916	82.4	0.391	0.426	0.919	0.358	1	0
ENSG00000133134	182	0.0608	0.141	0.433	0.665	1	0
ENSG00000286846	17.1	-0.622	0.431	-1.45	0.148	1	0
ENSG00000286237	15.1	0.163	1.21	0.135	0.893	1	0
ENSG00000158301	134	0.123	0.18	0.685	0.493	1	0
ENSG00000125962	179	-0.0271	0.166	-0.164	0.87	1	0
ENSG00000184867	507	0.0715	0.107	0.669	0.504	1	0
ENSG00000228275	0.672	1.46	2.23	0.653	0.514		3
ENSG00000102401	1270	-0.104	0.0802	-1.3	0.194	1	0
ENSG00000290908	2.93	-1.96	3.65	-0.537	0.592		4
ENSG00000010671	183	0.375	0.197	1.9	0.057	1	0
ENSG00000102384	291	-0.113	0.197	-0.573	0.566	1	0
ENSG00000204086	5.45	0.184	0.686	0.269	0.788	1	0
ENSG00000147202	528	-0.138	0.122	-1.13	0.258	1	0
ENSG00000286523	0.62	-0.66	2.44	-0.271	0.787		3
ENSG00000186310	22.6	-0.0668	0.367	-0.182	0.856	1	0
ENSG00000289479	23.7	0.0564	0.409	0.138	0.89	1	0
ENSG00000234161	0.595	-0.0869	2.5	-0.0347	0.972		4
ENSG00000184788	1.48	1.89	1.95	0.968	0.333		3
ENSG00000072133	306	-0.183	0.122	-1.49	0.135	1	0
ENSG00000131171	463	-0.0728	0.132	-0.551	0.582	1	0
ENSG00000147255	6.88	0.146	0.738	0.198	0.843	1	0
ENSG00000198157	97.1	0.168	0.221	0.761	0.447	1	0
ENSG00000165288	2040	-0.0886	0.0593	-1.49	0.135	1	0
ENSG00000078596	67	0.303	0.243	1.25	0.212	1	0
ENSG00000102158	2800	-0.0978	0.0984	-0.994	0.32	1	0
ENSG00000198934	49.9	-0.00605	0.257	-0.0235	0.981	1	0
ENSG00000102390	496	-0.103	0.116	-0.888	0.374	1	0
ENSG00000094841	122	-0.109	0.187	-0.58	0.562	1	0
ENSG00000147100	66.4	0.133	0.259	0.515	0.607	1	0
ENSG00000225470	444	-0.187	0.169	-1.11	0.268	1	0
ENSG00000229807	1.11	-1.66	1.6	-1.03	0.302		1
ENSG00000186288	7.13	-0.13	0.898	-0.145	0.885	1	1
ENSG00000269911	15.2	-0.508	0.489	-1.04	0.298	1	0
ENSG00000147099	373	-0.0781	0.123	-0.634	0.526	1	0
ENSG00000198034	11500	0.0413	0.0817	0.506	0.613	1	0
ENSG00000186871	215	-0.148	0.145	-1.02	0.306	1	0
ENSG00000102309	155	-0.0868	0.155	-0.562	0.574	1	0
ENSG00000204131	98.2	-0.037	0.307	-0.121	0.904	1	0
ENSG00000215113	0.985	2.41	1.86	1.29	0.196		3
ENSG00000281852	13.3	0.152	0.612	0.249	0.803	1	0
ENSG00000283599	0.931	0.402	1.81	0.221	0.825		2
ENSG00000147133	1050	0.122	0.0761	1.6	0.11	1	0
ENSG00000147140	7200	0.0349	0.0485	0.719	0.472	1	0
ENSG00000196338	42.9	-0.115	0.262	-0.438	0.661	1	0
ENSG00000184634	2220	-0.0123	0.092	-0.134	0.893	1	0
ENSG00000184481	4160	-0.00981	0.137	-0.0718	0.943	1	0
ENSG00000165349	106	0.199	0.185	1.07	0.283	1	0
ENSG00000120509	283	0.0924	0.129	0.716	0.474	1	0
ENSG00000089289	578	0.196	0.12	1.63	0.103	1	0
ENSG00000158813	29.1	-0.129	0.3	-0.429	0.668	1	0
ENSG00000181704	1860	0.016	0.0858	0.187	0.852	1	0
ENSG00000289038	3.21	0.979	1.02	0.957	0.339		1
ENSG00000089472	502	-0.011	0.101	-0.11	0.913	1	0
ENSG00000274536	1.76	-0.84	1.21	-0.693	0.489		0
ENSG00000198881	1.07	-0.796	1.59	-0.499	0.618		1
ENSG00000184675	208	0.0108	0.127	0.0853	0.932	1	0
ENSG00000186767	558	-0.326	0.174	-1.87	0.0615	1	0
ENSG00000235437	442	-0.134	0.145	-0.92	0.357	1	0
ENSG00000198205	45.8	0.0667	0.273	0.244	0.807	1	0
ENSG00000147059	12.5	0.238	0.472	0.504	0.614	1	0
ENSG00000186787	69.8	-0.311	0.205	-1.52	0.13	1	0
ENSG00000102349	1150	-0.0255	0.15	-0.171	0.865	1	0
ENSG00000227486	22.4	-0.516	0.395	-1.31	0.191	1	0
ENSG00000083750	87.4	0.138	0.242	0.571	0.568	1	0
ENSG00000247746	60.2	0.105	0.237	0.445	0.657	1	0
ENSG00000182518	65.8	0.168	0.207	0.815	0.415	1	0
ENSG00000130119	2410	-0.0716	0.0927	-0.772	0.44	1	0
ENSG00000196632	205	0.062	0.147	0.421	0.673	1	0
ENSG00000184083	95.8	0.047	0.231	0.204	0.839	1	0
